,Open,High,Low,Close,Volume
2025-04-15,150.0,151.2627301003351,149.19982147925293,150.0,18535193
2025-04-16,150.7674454880334,151.60287278210737,150.1468289049782,150.7674454880334,8162488
2025-04-17,148.3460072565431,151.79898769368964,146.32458130721966,148.3460072565431,10422765
2025-04-18,150.14632783853017,150.45437058049404,148.58392609268282,150.14632783853017,41408545
2025-04-21,152.41803611684003,155.4717654475709,148.7405237206239,152.41803611684003,16617471
2025-04-22,147.78323900193146,150.15405805921125,145.40254413242252,147.78323900193146,16206399
2025-04-23,144.7995043753513,145.46225088290555,141.10809013507406,144.7995043753513,46244731
2025-04-24,145.13699689550026,145.29357133265725,144.54880125428664,145.13699689550026,8049724
2025-04-25,144.46023869850424,146.35201874373163,141.6622778418209,144.46023869850424,45848078
2025-04-28,144.46787587178585,146.7826261967067,144.0193262664533,144.46787587178585,46127553
2025-04-29,142.57293137002765,144.35744149359004,142.16485492018606,142.57293137002765,30329422
2025-04-30,144.5927159887011,146.9080472485091,144.31809994865694,144.5927159887011,9111054
2025-05-01,146.4097449727312,147.57243788969333,144.77963637999653,146.4097449727312,8637182
2025-05-02,146.6084736631253,147.25301818087118,145.75878791819596,146.6084736631253,14951284
2025-05-05,149.25766542483086,150.04005596145396,148.47479796149779,149.25766542483086,29293366
2025-05-06,150.4039703264863,150.81949766118336,148.15632494149594,150.4039703264863,8527056
2025-05-07,148.4163632130703,150.51313895865835,147.3786408521841,148.4163632130703,23327238
2025-05-08,149.3253747468198,152.77494536061064,146.2601952051574,149.3253747468198,6659013
2025-05-09,147.11781990055948,147.1977837104236,146.8648356083843,147.11781990055948,2036252
2025-05-12,149.19979483210338,149.9036837063588,148.6965063823801,149.19979483210338,35742772
2025-05-13,149.12985013603404,149.81493144894128,148.91808095519974,149.12985013603404,3714375
2025-05-14,148.74302993400823,149.7871370263814,147.82787837694516,148.74302993400823,10546270
2025-05-15,147.19518437583005,147.3986691066326,144.64771911516357,147.19518437583005,9557432
2025-05-16,150.07589373873395,151.21667026021558,149.82918292201737,150.07589373873395,41718710
2025-05-19,149.75831059470602,150.10157367627164,149.17355838050915,149.75831059470602,3615714
